,user_id,method,tide,lap,falls_num,duration,mean_drift_head,std_drift_head,mean_drift_pelvis,std_drift_pelvis,mean_alpha,std_alpha,mean_beta,std_beta
51,12,NoInstructions,LowTide,3,0,15.749,1.9115325511730634,0.8524901875575631,2.0140796448581466,0.8537988929154156,1.8351931637105197,0.5676099746674297,0.18536383019714273,0.09118954507912885
52,12,NoInstructions,HighTide,0,0,8.122,0.6766141961574524,0.32989143537185184,0.7241099869955412,0.3432559432756178,2.1733804781931236,0.1906928242982269,0.18994256247351735,0.1565238433214416
53,12,NoInstructions,HighTide,1,0,6.823,0.3580760420408267,0.31418360679805224,0.45962313225452045,0.3262496839238171,2.009078723147096,0.13245919652475133,0.2513080661607007,0.0756796048609845
54,12,NoInstructions,HighTide,2,0,7.473,0.23488546170431768,0.3165472678932996,0.2679525763577784,0.32077392913140657,2.160306249994618,0.26818955271357403,0.137955497801834,0.07010858198179165
55,12,NoInstructions,HighTide,3,0,7.424,0.2885033514689614,0.3153540847386209,0.3679072047108429,0.3247217092494018,2.2430909099052205,0.0849664462016669,0.15749310667426022,0.038941180072063895
56,12,Imitation,LowTide,0,0,0,0.2885033514689614,0.3153540847386209,0.3679072047108429,0.3247217092494018,2.2430909099052205,0.0849664462016669,0.15749310667426022,0.038941180072063895
57,12,Imitation,LowTide,1,0,0,0.2885033514689614,0.3153540847386209,0.3679072047108429,0.3247217092494018,2.2430909099052205,0.0849664462016669,0.15749310667426022,0.038941180072063895
58,12,Imitation,LowTide,2,0,0,0.2885033514689614,0.3153540847386209,0.3679072047108429,0.3247217092494018,2.2430909099052205,0.0849664462016669,0.15749310667426022,0.038941180072063895
59,12,Imitation,LowTide,3,0,0,0.2885033514689614,0.3153540847386209,0.3679072047108429,0.3247217092494018,2.2430909099052205,0.0849664462016669,0.15749310667426022,0.038941180072063895
60,12,Imitation,HighTide,0,0,28.721,0.5903760375221432,0.2799961365747055,0.6875318785854279,0.3115562520294424,2.022732425608538,0.38486645259661517,0.24566295491733478,0.18374620956869947
61,12,Imitation,HighTide,1,2,40.203,1.208756304336705,0.8330418509134877,1.378177521605304,0.8976242244432266,1.785719304431177,0.5126756180016919,0.3647266101811979,0.2687070405183657
62,12,Imitation,HighTide,2,1,43.15,1.4519399518856126,0.827349714563856,1.5600632267060235,0.8772098841988207,1.9294715268418674,0.3631186995407016,0.25341519190093886,0.18170571942987354
63,12,Imitation,HighTide,3,0,23.719,1.0378985277469528,0.37155429466774936,1.1198903389928654,0.3682581337550668,2.0771272608941795,0.3141074817465296,0.1762563126092217,0.15966855724001555
64,12,Gamification,LowTide,0,2,18.539,0.6577602247017986,0.26626276690225353,0.6262917641221825,0.2998678221759184,1.8569647104542355,0.48258028784152684,0.2803340446665367,0.1662370832010054
65,12,Gamification,LowTide,1,0,37.561,2.163457996882053,1.1414149199425478,2.3033206073436054,1.160243534976498,1.4685149749607416,0.49535583690598245,0.3013223754785844,0.21671505984422085
66,12,Gamification,LowTide,2,0,26.585,1.9331298064134421,0.940885407825595,2.009500634252055,0.9584672104093174,1.587260959018634,0.5529709160377828,0.22453281920718915,0.15678465512250822
67,12,Gamification,LowTide,3,0,30.676,1.5141064288141093,0.7676425727586956,1.5705646428057782,0.7375127078228421,1.81850894545088,0.5077562384953616,0.2204303828750949,0.1365096180484403
68,12,Gamification,HighTide,0,2,23.382,0.5540033132458723,0.43268061774310723,0.5857026592280419,0.46767556520571063,1.7968617278409516,0.46293197832435673,0.24857033631057882,0.1912904851816326
69,12,Gamification,HighTide,1,0,21.422,2.0357238567302804,1.0494692866409125,2.170162001283487,1.0200285462699148,1.540504643927737,0.6649322471393173,0.21924062992114032,0.08363566120367255
70,12,Gamification,HighTide,2,0,25.126,2.1266457407486525,1.0481030543409844,2.208165741496262,1.052922299639959,1.7109442678479863,0.4758515663806464,0.2307000756338856,0.11937895615332066
